实验名称,默认检测地点,管理编号,设备名称,规格型号,设备角色,是否必需,用途/绑定说明
表面粗糙度试验,性能检测室,BPGL-A036,粗糙度仪,TR200,主设备,是,触针式粗糙度测量
表面粗糙度试验,性能检测室,BPGL-B001,粗糙度标准块,,标准器,是,使用前标准块核查
表面粗糙度试验,性能检测室,BPGL-B002,研磨粗糙度块,/,标准器,否,低粗糙度参考/核查
表面粗糙度试验,性能检测室,BPGL-A001,数显游标卡尺,,辅助量具,否,试样尺寸和定位确认
表面粗糙度试验,性能检测室,BPGL-A027,超声波清洗机,VGT-1620T,清洗设备,否,必要时清洁试样
表面粗糙度试验,性能检测室,BPGL-A009,温湿度计,YZ-0508,环境监测,否,记录温度和相对湿度
表面粗糙度试验,性能检测室,BPGL-A010,温湿度计,YZ-0508,环境监测,否,记录温度和相对湿度
表面粗糙度试验,性能检测室,BPGL-A011,温湿度计,YZ-0508,环境监测,否,记录温度和相对湿度
表面粗糙度试验,性能检测室,BPGL-A012,温湿度计,/,环境监测,否,记录温度和相对湿度
表面粗糙度试验,性能检测室,BPGL-A013,温湿度计,/,环境监测,否,记录温度和相对湿度
表面粗糙度试验,性能检测室,BPGL-A014,温湿度计,/,环境监测,否,记录温度和相对湿度
表面粗糙度试验,性能检测室,BPGL-A015,温湿度计,/,环境监测,否,记录温度和相对湿度
表面粗糙度试验,性能检测室,BPGL-A016,温湿度计,/,环境监测,否,记录温度和相对湿度
表面粗糙度试验,性能检测室,BPGL-A040,大理石平台,,测量平台,是,00级大理石平台，用于粗糙度仪及小试样稳定放置
表面粗糙度试验,性能检测室,BPGL-A041,高精度数字水平仪,Dasqua,水平确认,是,确认平台及测量方向水平状态
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-A021,电子万能试验机,STS50K,主设备,是,加载与力值采集
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-B009,金瓷结合试验夹具,,夹具,是,金属-陶瓷结合试验专用夹具
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-A001,数显游标卡尺,,辅助量具,是,跨距、宽度等尺寸测量
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-A002,千分尺,,辅助量具,是,金属基体厚度测量
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-A018,高速精密切割机,GTQ-5000B,制样设备,否,试样切割制备
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-A019,金相试样抛光机,P-2T,制样设备,否,试样表面处理
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-A027,超声波清洗机,VGT-1620T,清洗设备,否,试样清洁
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-C002,放大镜,10X,外观检查,是,10倍观察裂纹/剥离形态
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-C003,放大镜,3X,外观检查,否,辅助观察
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-A009,温湿度计,YZ-0508,环境监测,否,记录温度和相对湿度
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-A010,温湿度计,YZ-0508,环境监测,否,记录温度和相对湿度
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-A011,温湿度计,YZ-0508,环境监测,否,记录温度和相对湿度
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-A012,温湿度计,/,环境监测,否,记录温度和相对湿度
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-A013,温湿度计,/,环境监测,否,记录温度和相对湿度
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-A014,温湿度计,/,环境监测,否,记录温度和相对湿度
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-A015,温湿度计,/,环境监测,否,记录温度和相对湿度
金属-陶瓷结合裂纹萌生试验,性能检测室,BPGL-A016,温湿度计,/,环境监测,否,记录温度和相对湿度
金属内部质量X射线灰度分析,无损检测室,BPGL-A032,医用X射线限束器,R103,主设备,是,X射线限束与曝光
金属内部质量X射线灰度分析,无损检测室,BPGL-A033,干式激光成像仪,DryView5700C/6950,成像设备,是,影像输出
金属内部质量X射线灰度分析,无损检测室,BPGL-A029,黑白密度计,KM-500,测量设备,是,黑白密度测量
金属内部质量X射线灰度分析,无损检测室,BPGL-B005,密度片,DV-9A,标准器,是,密度计核查
金属内部质量X射线灰度分析,无损检测室,BPGL-C001,核辐射检测仪,SF999,安全监测,是,辐射安全监测
金属内部质量X射线灰度分析,无损检测室,BPGL-B006,背景板,,辅助器具,否,统一成像/观察背景
金属内部质量X射线灰度分析,无损检测室,BPGL-A005,测厚仪,/,辅助量具,否,厚度复核
金属内部质量X射线灰度分析,无损检测室,BPGL-A001,数显游标卡尺,,辅助量具,否,尺寸与摆位确认
金属内部质量X射线灰度分析,无损检测室,BPGL-A027,超声波清洗机,VGT-1620T,清洗设备,否,样品清洁
金属内部质量X射线灰度分析,无损检测室,BPGL-C002,放大镜,10X,外观检查,否,影像/样品辅助观察
金属内部质量X射线灰度分析,无损检测室,BPGL-C003,放大镜,3X,外观检查,否,影像/样品辅助观察
金属内部质量X射线灰度分析,无损检测室,BPGL-A009,温湿度计,YZ-0508,环境监测,否,记录温度和相对湿度
金属内部质量X射线灰度分析,无损检测室,BPGL-A010,温湿度计,YZ-0508,环境监测,否,记录温度和相对湿度
金属内部质量X射线灰度分析,无损检测室,BPGL-A011,温湿度计,YZ-0508,环境监测,否,记录温度和相对湿度
金属内部质量X射线灰度分析,无损检测室,BPGL-A012,温湿度计,/,环境监测,否,记录温度和相对湿度
金属内部质量X射线灰度分析,无损检测室,BPGL-A013,温湿度计,/,环境监测,否,记录温度和相对湿度
金属内部质量X射线灰度分析,无损检测室,BPGL-A014,温湿度计,/,环境监测,否,记录温度和相对湿度
金属内部质量X射线灰度分析,无损检测室,BPGL-A015,温湿度计,/,环境监测,否,记录温度和相对湿度
金属内部质量X射线灰度分析,无损检测室,BPGL-A016,温湿度计,/,环境监测,否,记录温度和相对湿度
翘曲变形试验,显微检测室,BPGL-A026,影像测量仪,VMS-2010,主设备,是,H1、H2影像测量
翘曲变形试验,显微检测室,BPGL-A018,高速精密切割机,GTQ-5000B,制样设备,是,切割悬臂试样
翘曲变形试验,显微检测室,BPGL-B012,翘曲变形切割试验夹具,,夹具,是,翘曲变形切割定位
翘曲变形试验,显微检测室,BPGL-A001,数显游标卡尺,,辅助量具,否,试样尺寸确认
翘曲变形试验,显微检测室,BPGL-A002,千分尺,,辅助量具,否,厚度复核
翘曲变形试验,显微检测室,BPGL-A003,百分表,,辅助量具,否,位移/平面状态辅助核查
翘曲变形试验,显微检测室,BPGL-A027,超声波清洗机,VGT-1620T,清洗设备,否,切割后清洁
翘曲变形试验,显微检测室,BPGL-A009,温湿度计,YZ-0508,环境监测,否,记录温度和相对湿度
翘曲变形试验,显微检测室,BPGL-A010,温湿度计,YZ-0508,环境监测,否,记录温度和相对湿度
翘曲变形试验,显微检测室,BPGL-A011,温湿度计,YZ-0508,环境监测,否,记录温度和相对湿度
翘曲变形试验,显微检测室,BPGL-A012,温湿度计,/,环境监测,否,记录温度和相对湿度
翘曲变形试验,显微检测室,BPGL-A013,温湿度计,/,环境监测,否,记录温度和相对湿度
翘曲变形试验,显微检测室,BPGL-A014,温湿度计,/,环境监测,否,记录温度和相对湿度
翘曲变形试验,显微检测室,BPGL-A015,温湿度计,/,环境监测,否,记录温度和相对湿度
翘曲变形试验,显微检测室,BPGL-A016,温湿度计,/,环境监测,否,记录温度和相对湿度
热膨胀系数试验,性能检测室,BPGL-A020,热膨胀测试仪,ZRPY-1000,主设备,是,热膨胀曲线与系数测量
热膨胀系数试验,性能检测室,BPGL-A034,高精度铂电阻温度检测仪,YET-710,温度测量,是,温度系统核查
热膨胀系数试验,性能检测室,BPGL-A001,数显游标卡尺,,辅助量具,是,试样长度测量
热膨胀系数试验,性能检测室,BPGL-A002,千分尺,,辅助量具,否,试样尺寸复核
热膨胀系数试验,性能检测室,BPGL-A004,螺纹千分尺,,备用量具,否,特殊形状尺寸备用测量
热膨胀系数试验,性能检测室,BPGL-A030,电热恒温干燥箱,101-00,制样设备,否,试样干燥
热膨胀系数试验,性能检测室,BPGL-A027,超声波清洗机,VGT-1620T,清洗设备,否,试样清洁
热膨胀系数试验,性能检测室,BPGL-A009,温湿度计,YZ-0508,环境监测,否,记录温度和相对湿度
